ticker,filing_date,start_date,start_price,return_1m,return_3m,negative_density,positive_density,word_count,negative_density_change,positive_density_change
FOX,2025-08-06,2025-08-06,48.9875373840332,0.136428031951,0.1806913351402985,0.009639896317559607,0.005441185921466978,46681,0.000788055491917055,-0.0002351066259181564
FOX,2024-08-08,2024-08-08,35.867340087890625,0.0181306746101637,0.1633426245702165,0.008851840825642552,0.005676292547385134,50385,0.0011036863506257745,-0.00018058012664329617
FOX,2023-08-11,2023-08-11,31.143600463867188,-0.080588105889829,-0.1390225974472655,0.007748154475016778,0.00585687267402843,49173,0.00013707657105184456,0.00011867781449465854
FOX,2022-08-12,2022-08-12,31.891490936279297,-0.071200465828238,-0.1727413687986705,0.007611077903964933,0.005738194859533772,50190,5.9397061178308175e-06,-0.00022105522086880887
FOX,2021-08-10,2021-08-10,31.70292854309082,-0.0027320094829186,0.1225560442476039,0.007605138197847102,0.0059592500804025806,52859,-0.0001907646853091952,0.00024984188616889325
FOX,2020-08-10,2020-08-10,22.6910457611084,0.1558348855219073,0.0461346953085841,0.007795902883156298,0.005709408194233687,52720,-0.0006055242085688728,-0.00022913479115013128
GOOGL,2026-02-05,2026-02-05,330.8193664550781,-0.0744886045012268,0.202325048714107,0.010547486033519553,0.005877094972067039,44750,2.4133284672574543e-05,-0.0008353316784320622
GOOGL,2025-02-05,2025-02-05,190.33583068847656,-0.0913081439417776,-0.2078902831034751,0.010523352748846979,0.006712426650499101,46183,3.5920567223422795e-06,-0.00029333364129637517
LYV,2026-02-19,2026-02-19,157.4600067138672,-0.0546805553361715,0.0443286893809355,0.00920607601016671,0.004583024796365602,49967,-0.00021642829950262003,3.8282592949209424e-05
LYV,2025-02-21,2025-02-21,149.39999389648438,-0.1497991845228891,-0.033266408458803,0.00942250430966933,0.004544742203416392,51048,0.00043538255885950186,-0.0005512521080318182
LYV,2024-02-22,2024-02-22,93.48999786376952,0.1337041425352749,0.0846080205674577,0.008987121750809828,0.0050959943114482105,50628,0.0003916392852015699,-4.559565656403475e-05
LYV,2023-02-23,2023-02-23,76.48999786376953,-0.1377958061170211,0.0730815024631206,0.008595482465608258,0.005141589968012245,50957,-0.0004108059487875921,0.00036310558246493985
LYV,2022-02-23,2022-02-23,113.4000015258789,0.0395061346319001,-0.2552910422230467,0.00900628841439585,0.004778484385547305,56294,-0.0004951945273343073,0.0012975672704461636
LYV,2021-03-01,2021-03-01,92.86000061035156,-0.1009046164655905,-0.0296144732061679,0.009501482941730158,0.0034809171151011418,56307,0.00034736938437210374,-0.0011540770911561003
LYV,2020-02-27,2020-02-27,57.75,-0.183549757127638,-0.1513420204063514,0.009154113557358054,0.004634994206257242,51780,0.00014473728340778924,-0.0007461717130252694
LYV,2019-02-28,2019-02-28,56.560001373291016,0.1234087583585605,0.0894624723432768,0.009009376273950265,0.0053811659192825115,49060,-0.00045526682144666694,0.00019020527885555989
LYV,2018-02-27,2018-02-27,47.75,-0.1220942791843913,-0.1013612597400605,0.009464643095396932,0.005190960640426952,47968,5.992162800562764e-05,0.00015954080347042963
LYV,2017-02-23,2018-01-02,42.650001525878906,0.0778428974453782,-0.0989449254331805,0.009404721467391304,0.005031419836956522,47104,-0.00013386383399351456,-0.0012510218876503462
LYV,2016-02-25,2018-01-02,42.650001525878906,0.0778428974453782,-0.0989449254331805,0.009538585301384819,0.006282441724606868,52209,-0.00014520537532997958,6.947503301163102e-05
LYV,2015-02-26,2018-01-02,42.650001525878906,0.0778428974453782,-0.0989449254331805,0.009683790676714798,0.006212966691595237,52149,-5.136914063679984e-05,0.0004778068742436392
LYV,2014-02-24,2018-01-02,42.650001525878906,0.0778428974453782,-0.0989449254331805,0.009735159817351598,0.005735159817351598,54750,0.0002976300167892923,0.00030940226650567285
DASH,2026-02-18,2026-02-18,173.3800048828125,-0.08143966996379,-0.108028668005793,0.01369208277103014,0.006944444444444444,71136,-0.0009818222331856481,-0.0006439761877760197
DASH,2025-02-14,2025-02-14,213.3800048828125,-0.1320179844611784,-0.0533321052694808,0.014673905004215788,0.007588420632220464,67603,-0.00016775519079672424,0.00015320908103687043
