ticker,filing_date,start_date,start_price,return_1m,return_3m,negative_density,positive_density,word_count,negative_density_change,positive_density_change,momentum_3m
FOX,2025-08-06,2025-08-06,48.9875373840332,0.136428031951,0.1806913351402985,0.0096398963175596,0.0054411859214669,46681,0.000788055491917,-0.0002351066259181,0.08918857209554143
FOX,2024-08-08,2024-08-08,35.867340087890625,0.0181306746101637,0.1633426245702165,0.0088518408256425,0.0056762925473851,50385,0.0011036863506257,-0.0001805801266432,0.19516186950556702
FOX,2023-08-11,2023-08-11,31.143600463867188,-0.080588105889829,-0.1390225974472655,0.0077481544750167,0.0058568726740284,49173,0.0001370765710518,0.0001186778144946,0.14595163113971488
FOX,2022-08-12,2022-08-12,31.891490936279297,-0.071200465828238,-0.1727413687986705,0.0076110779039649,0.0057381948595337,50190,5.9397061178308175e-06,-0.0002210552208688,0.09073229216336132
FOX,2021-08-10,2021-08-10,31.70292854309082,-0.0027320094829186,0.1225560442476039,0.0076051381978471,0.0059592500804025,52859,-0.0001907646853091,0.0002498418861688,-0.10403860794659403
FOX,2020-08-10,2020-08-10,22.6910457611084,0.1558348855219073,0.0461346953085841,0.0077959028831562,0.0057094081942336,52720,-0.0006055242085688,-0.0002291347911501,-0.022004088585974912
GOOGL,2026-02-05,2026-02-05,330.8193664550781,-0.0744886045012268,0.202325048714107,0.0105474860335195,0.005877094972067,44750,2.4133284672574543e-05,-0.000835331678432,0.20075595989367034
GOOGL,2025-02-05,2025-02-05,190.33583068847656,-0.0913081439417776,-0.2078902831034751,0.0105233527488469,0.0067124266504991,46183,3.5920567223422795e-06,-0.0002933336412963,0.20623820884539623
LYV,2026-02-19,2026-02-19,157.4600067138672,-0.0546805553361715,0.0443286893809355,0.0092060760101667,0.0045830247963656,49967,-0.0002164282995026,3.8282592949209424e-05,0.1764084045715526
LYV,2025-02-21,2025-02-21,149.39999389648438,-0.1497991845228891,-0.033266408458803,0.0094225043096693,0.0045447422034163,51048,0.0004353825588595,-0.0005512521080318,0.14871795107843733
LYV,2024-02-22,2024-02-22,93.48999786376952,0.1337041425352749,0.0846080205674577,0.0089871217508098,0.0050959943114482,50628,0.0003916392852015,-4.559565656403475e-05,0.015364030929711836
LYV,2023-02-23,2023-02-23,76.48999786376953,-0.1377958061170211,0.0730815024631206,0.0085954824656082,0.0051415899680122,50957,-0.0004108059487875,0.0003631055824649,0.12697937989231778
LYV,2022-02-23,2022-02-23,113.4000015258789,0.0395061346319001,-0.2552910422230467,0.0090062884143958,0.0047784843855473,56294,-0.0004951945273343,0.0012975672704461,0.044063887383032574
LYV,2021-03-01,2021-03-01,92.86000061035156,-0.1009046164655905,-0.0296144732061679,0.0095014829417301,0.0034809171151011,56307,0.0003473693843721,-0.0011540770911561,0.3012153963838524
LYV,2020-02-27,2020-02-27,57.75,-0.183549757127638,-0.1513420204063514,0.009154113557358,0.0046349942062572,51780,0.0001447372834077,-0.0007461717130252,-0.11980299295969232
LYV,2019-02-28,2019-02-28,56.560001373291016,0.1234087583585605,0.0894624723432768,0.0090093762739502,0.0053811659192825,49060,-0.0004552668214466,0.0001902052788555,0.03148448420971617
LYV,2018-02-27,2018-02-27,47.75,-0.1220942791843913,-0.1013612597400605,0.0094646430953969,0.0051909606404269,47968,5.992162800562764e-05,0.0001595408034704,
LYV,2017-02-23,2018-01-02,42.650001525878906,0.0778428974453782,-0.0989449254331805,0.0094047214673913,0.0050314198369565,47104,-0.0001338638339935,-0.0012510218876503,
LYV,2016-02-25,2018-01-02,42.650001525878906,0.0778428974453782,-0.0989449254331805,0.0095385853013848,0.0062824417246068,52209,-0.0001452053753299,6.947503301163102e-05,
