ticker,filing_date,start_date,start_price,return_1m,return_3m
FOX,2025-08-06,2025-08-06,48.9875373840332,0.13642803195100006,0.18069133514029856
FOX,2024-08-08,2024-08-08,35.867340087890625,0.01813067461016371,0.16334262457021653
FOX,2023-08-11,2023-08-11,31.143600463867188,-0.08058810588982901,-0.13902259744726553
FOX,2022-08-12,2022-08-12,31.891490936279297,-0.07120046582823802,-0.17274136879867052
FOX,2021-08-10,2021-08-10,31.70292854309082,-0.0027320094829186292,0.12255604424760391
FOX,2020-08-10,2020-08-10,22.6910457611084,0.15583488552190738,0.04613469530858416
FOX,2019-08-09,2019-08-09,32.0578727722168,-0.025681065625357324,-0.024827223562161604
GOOGL,2026-02-05,2026-02-05,330.8193664550781,-0.07448860450122685,0.20232504871410706
GOOGL,2025-02-05,2025-02-05,190.33583068847656,-0.09130814394177766,-0.20789028310347513
GOOGL,2024-01-31,2024-01-31,138.8686065673828,-0.021127706918431022,0.1695932476076798
LYV,2026-02-19,2026-02-19,157.4600067138672,-0.054680555336171555,0.04432868938093559
LYV,2025-02-21,2025-02-21,149.39999389648438,-0.1497991845228891,-0.03326640845880302
LYV,2024-02-22,2024-02-22,93.48999786376952,0.13370414253527496,0.08460802056745775
LYV,2023-02-23,2023-02-23,76.48999786376953,-0.13779580611702114,0.07308150246312062
LYV,2022-02-23,2022-02-23,113.4000015258789,0.039506134631900114,-0.25529104222304677
LYV,2021-03-01,2021-03-01,92.86000061035156,-0.10090461646559057,-0.029614473206167946
LYV,2020-02-27,2020-02-27,57.75,-0.183549757127638,-0.15134202040635147
LYV,2019-02-28,2019-02-28,56.560001373291016,0.12340875835856058,0.08946247234327687
LYV,2018-02-27,2018-02-27,47.75,-0.12209427918439131,-0.1013612597400605
LYV,2017-02-23,2018-01-02,42.650001525878906,0.0778428974453782,-0.09894492543318056
LYV,2016-02-25,2018-01-02,42.650001525878906,0.0778428974453782,-0.09894492543318056
LYV,2015-02-26,2018-01-02,42.650001525878906,0.0778428974453782,-0.09894492543318056
LYV,2014-02-24,2018-01-02,42.650001525878906,0.0778428974453782,-0.09894492543318056
LYV,2013-02-26,2018-01-02,42.650001525878906,0.0778428974453782,-0.09894492543318056
PSKY,2026-02-25,2026-02-25,10.059467315673828,-0.12146510334167737,0.05068023521925613
DASH,2026-02-18,2026-02-18,173.3800048828125,-0.08143966996379004,-0.10802866800579303
DASH,2025-02-14,2025-02-14,213.3800048828125,-0.1320179844611784,-0.053332105269480845
DASH,2024-02-20,2024-02-20,115.4800033569336,0.19423276457524508,-0.013162488987489951
DASH,2023-02-27,2023-02-27,54.18999862670898,0.08949995223708895,0.24451013379739517
DASH,2022-03-01,2022-03-01,102.43000030517578,0.15425171341095312,-0.24914572456344009
GPC,2026-02-20,2026-02-20,115.7275161743164,-0.13615349882787753,-0.16555811837279777
GPC,2025-02-21,2025-02-21,115.5109634399414,0.00028870059172714235,0.05184906751558249
GPC,2024-02-22,2024-02-22,134.81381225585938,0.07387089172598849,0.030538446511086725
GPC,2023-02-23,2023-02-23,161.69229125976562,-0.12238538045834413,-0.11432982789114987
GPC,2022-02-17,2022-02-17,112.01158142089844,0.012504578866228577,0.04186633293333086
